,Country,Continent,democracy,regime,start_year,duration,observed,Period
0,Afghanistan,Asia,Non-democracy,Monarchy,1946,7,1,Early
1,Afghanistan,Asia,Non-democracy,Civilian Dict,1953,10,1,Early
2,Afghanistan,Asia,Non-democracy,Monarchy,1963,10,1,Early
3,Afghanistan,Asia,Non-democracy,Civilian Dict,1973,5,0,Middle
4,Afghanistan,Asia,Non-democracy,Civilian Dict,1978,1,0,Middle
5,Afghanistan,Asia,Non-democracy,Civilian Dict,1979,6,1,Middle
6,Afghanistan,Asia,Non-democracy,Civilian Dict,1985,7,1,Middle
7,Afghanistan,Asia,Non-democracy,Civilian Dict,1992,4,1,Late
8,Afghanistan,Asia,Non-democracy,Civilian Dict,1996,5,0,Late
9,Afghanistan,Asia,Non-democracy,Civilian Dict,2001,8,0,Late
10,Albania,Europe,Non-democracy,Military Dict,1946,39,0,Early
11,Albania,Europe,Non-democracy,Civilian Dict,1985,6,1,Middle
12,Albania,Europe,Democracy,Parliamentary Dem,1991,1,1,Late
13,Albania,Europe,Democracy,Parliamentary Dem,1992,5,1,Late
14,Albania,Europe,Democracy,Parliamentary Dem,1997,1,1,Late
15,Albania,Europe,Democracy,Parliamentary Dem,1998,1,1,Late
16,Albania,Europe,Democracy,Parliamentary Dem,1999,3,1,Late
17,Albania,Europe,Democracy,Parliamentary Dem,2002,3,1,Late
18,Albania,Europe,Democracy,Parliamentary Dem,2005,4,0,Late
19,Algeria,Africa,Non-democracy,Civilian Dict,1962,3,1,Early
20,Algeria,Africa,Non-democracy,Military Dict,1965,13,0,Early
21,Algeria,Africa,Non-democracy,Military Dict,1978,1,1,Middle
22,Algeria,Africa,Non-democracy,Military Dict,1979,13,1,Middle
23,Algeria,Africa,Non-democracy,Military Dict,1992,2,1,Late
24,Algeria,Africa,Non-democracy,Military Dict,1994,5,1,Late
25,Algeria,Africa,Non-democracy,Civilian Dict,1999,10,0,Late
26,Andorra,Europe,Democracy,Parliamentary Dem,1993,1,1,Late
27,Andorra,Europe,Democracy,Parliamentary Dem,1994,11,1,Late
28,Andorra,Europe,Democracy,Parliamentary Dem,2005,4,0,Late
29,Angola,Africa,Non-democracy,Civilian Dict,1975,4,0,Middle
30,Angola,Africa,Non-democracy,Civilian Dict,1979,30,0,Middle
31,Antigua & Barbuda,Americas,Democracy,Parliamentary Dem,1981,13,1,Middle
32,Antigua & Barbuda,Americas,Democracy,Parliamentary Dem,1994,10,1,Late
33,Antigua & Barbuda,Americas,Democracy,Parliamentary Dem,2004,5,0,Late
34,Argentina,Americas,Democracy,Presidential Dem,1946,9,1,Early
35,Argentina,Americas,Non-democracy,Military Dict,1955,3,1,Early
36,Argentina,Americas,Democracy,Presidential Dem,1958,4,1,Early
37,Argentina,Americas,Non-democracy,Military Dict,1962,1,1,Early
38,Argentina,Americas,Democracy,Presidential Dem,1963,3,1,Early
39,Argentina,Americas,Non-democracy,Military Dict,1966,4,1,Middle
40,Argentina,Americas,Non-democracy,Military Dict,1970,1,1,Middle
41,Argentina,Americas,Non-democracy,Military Dict,1971,2,1,Middle
42,Argentina,Americas,Democracy,Presidential Dem,1973,1,0,Middle
43,Argentina,Americas,Democracy,Presidential Dem,1974,2,1,Middle
44,Argentina,Americas,Non-democracy,Military Dict,1976,5,1,Middle
45,Argentina,Americas,Non-democracy,Military Dict,1981,1,1,Middle
46,Argentina,Americas,Non-democracy,Military Dict,1982,1,1,Middle
47,Argentina,Americas,Democracy,Presidential Dem,1983,6,1,Middle
48,Argentina,Americas,Democracy,Presidential Dem,1989,10,1,Late
49,Argentina,Americas,Democracy,Presidential Dem,1999,2,1,Late
50,Argentina,Americas,Democracy,Presidential Dem,2001,1,1,Late
51,Argentina,Americas,Democracy,Presidential Dem,2002,3,1,Late
52,Argentina,Americas,Democracy,Presidential Dem,2005,2,1,Late
53,Argentina,Americas,Democracy,Presidential Dem,2007,2,0,Late
54,Armenia,Asia,Democracy,Mixed Dem,1991,4,1,Late
55,Armenia,Asia,Democracy,Mixed Dem,1995,1,1,Late
56,Armenia,Asia,Democracy,Mixed Dem,1996,1,1,Late
57,Armenia,Asia,Democracy,Mixed Dem,1997,1,1,Late
58,Armenia,Asia,Democracy,Mixed Dem,1998,1,1,Late
59,Armenia,Asia,Democracy,Mixed Dem,1999,1,1,Late
60,Armenia,Asia,Democracy,Mixed Dem,2000,7,0,Late
61,Armenia,Asia,Democracy,Mixed Dem,2007,1,1,Late
62,Armenia,Asia,Democracy,Mixed Dem,2008,1,0,Late
63,Australia,Oceania,Democracy,Parliamentary Dem,1946,3,1,Early
64,Australia,Oceania,Democracy,Parliamentary Dem,1949,17,1,Early
65,Australia,Oceania,Democracy,Parliamentary Dem,1966,1,0,Middle
66,Australia,Oceania,Democracy,Parliamentary Dem,1967,1,1,Middle
67,Australia,Oceania,Democracy,Parliamentary Dem,1968,3,1,Middle
68,Australia,Oceania,Democracy,Parliamentary Dem,1971,1,1,Middle
69,Australia,Oceania,Democracy,Parliamentary Dem,1972,3,1,Middle
70,Australia,Oceania,Democracy,Parliamentary Dem,1975,8,1,Middle
71,Australia,Oceania,Democracy,Parliamentary Dem,1983,8,1,Middle
72,Australia,Oceania,Democracy,Parliamentary Dem,1991,5,1,Late
73,Australia,Oceania,Democracy,Parliamentary Dem,1996,11,1,Late
74,Australia,Oceania,Democracy,Parliamentary Dem,2007,2,0,Late
75,Austria,Europe,Democracy,Mixed Dem,1946,7,1,Early
76,Austria,Europe,Democracy,Mixed Dem,1953,8,1,Early
77,Austria,Europe,Democracy,Mixed Dem,1961,3,1,Early
78,Austria,Europe,Democracy,Mixed Dem,1964,6,1,Early
79,Austria,Europe,Democracy,Mixed Dem,1970,13,1,Middle
80,Austria,Europe,Democracy,Mixed Dem,1983,3,1,Middle
81,Austria,Europe,Democracy,Mixed Dem,1986,11,1,Late
82,Austria,Europe,Democracy,Mixed Dem,1997,3,1,Late
83,Austria,Europe,Democracy,Mixed Dem,2000,7,1,Late
84,Austria,Europe,Democracy,Mixed Dem,2007,2,0,Late
85,Azerbaijan,Asia,Non-democracy,Civilian Dict,1991,1,1,Late
86,Azerbaijan,Asia,Non-democracy,Civilian Dict,1992,1,1,Late
87,Azerbaijan,Asia,Non-democracy,Civilian Dict,1993,10,0,Late
88,Azerbaijan,Asia,Non-democracy,Civilian Dict,2003,6,0,Late
89,Bahamas,Americas,Democracy,Parliamentary Dem,1973,19,1,Middle
90,Bahamas,Americas,Democracy,Parliamentary Dem,1992,10,1,Late
91,Bahamas,Americas,Democracy,Parliamentary Dem,2002,5,1,Late
92,Bahamas,Americas,Democracy,Parliamentary Dem,2007,2,0,Late
93,Bahrain,Asia,Non-democracy,Monarchy,1971,28,0,Middle
94,Bahrain,Asia,Non-democracy,Monarchy,1999,10,0,Late
95,Bangladesh,Asia,Non-democracy,Civilian Dict,1971,1,1,Middle
96,Bangladesh,Asia,Non-democracy,Civilian Dict,1972,3,0,Middle
97,Bangladesh,Asia,Non-democracy,Civilian Dict,1975,2,1,Middle
98,Bangladesh,Asia,Non-democracy,Military Dict,1977,4,0,Middle
99,Bangladesh,Asia,Non-democracy,Civilian Dict,1981,1,1,Middle
100,Bangladesh,Asia,Non-democracy,Military Dict,1982,4,1,Middle
101,Bangladesh,Asia,Democracy,Mixed Dem,1986,4,1,Late
102,Bangladesh,Asia,Democracy,Mixed Dem,1990,1,1,Late
103,Bangladesh,Asia,Democracy,Parliamentary Dem,1991,5,1,Late
104,Bangladesh,Asia,Democracy,Parliamentary Dem,1996,5,1,Late
105,Bangladesh,Asia,Democracy,Parliamentary Dem,2001,6,1,Late
106,Bangladesh,Asia,Non-democracy,Military Dict,2007,1,1,Late
107,Bangladesh,Asia,Non-democracy,Civilian Dict,2008,1,0,Late
108,Barbados,Americas,Democracy,Parliamentary Dem,1966,10,1,Middle
109,Barbados,Americas,Democracy,Parliamentary Dem,1976,9,0,Middle
110,Barbados,Americas,Democracy,Parliamentary Dem,1985,1,1,Middle
111,Barbados,Americas,Democracy,Parliamentary Dem,1986,1,0,Late
112,Barbados,Americas,Democracy,Parliamentary Dem,1987,7,1,Late
113,Barbados,Americas,Democracy,Parliamentary Dem,1994,14,1,Late
114,Barbados,Americas,Democracy,Parliamentary Dem,2008,1,0,Late
115,Belarus,Europe,Non-democracy,Civilian Dict,1991,3,1,Late
116,Belarus,Europe,Non-democracy,Civilian Dict,1994,15,0,Late
117,Belgium,Europe,Democracy,Parliamentary Dem,1946,1,1,Early
118,Belgium,Europe,Democracy,Parliamentary Dem,1947,2,1,Early
119,Belgium,Europe,Democracy,Parliamentary Dem,1949,1,1,Early
120,Belgium,Europe,Democracy,Parliamentary Dem,1950,2,1,Early
121,Belgium,Europe,Democracy,Parliamentary Dem,1952,2,1,Early
122,Belgium,Europe,Democracy,Parliamentary Dem,1954,4,1,Early
123,Belgium,Europe,Democracy,Parliamentary Dem,1958,3,1,Early
124,Belgium,Europe,Democracy,Parliamentary Dem,1961,4,1,Early
125,Belgium,Europe,Democracy,Parliamentary Dem,1965,1,1,Early
126,Belgium,Europe,Democracy,Parliamentary Dem,1966,2,1,Middle
127,Belgium,Europe,Democracy,Parliamentary Dem,1968,5,1,Middle
128,Belgium,Europe,Democracy,Parliamentary Dem,1973,1,1,Middle
129,Belgium,Europe,Democracy,Parliamentary Dem,1974,4,1,Middle
130,Belgium,Europe,Democracy,Parliamentary Dem,1978,1,1,Middle
131,Belgium,Europe,Democracy,Parliamentary Dem,1979,13,1,Middle
132,Belgium,Europe,Democracy,Parliamentary Dem,1992,7,1,Late
133,Belgium,Europe,Democracy,Parliamentary Dem,1999,9,1,Late
134,Belgium,Europe,Democracy,Parliamentary Dem,2008,1,0,Late
135,Belize,Americas,Democracy,Parliamentary Dem,1981,3,1,Middle
136,Belize,Americas,Democracy,Parliamentary Dem,1984,5,1,Middle
137,Belize,Americas,Democracy,Parliamentary Dem,1989,4,1,Late
138,Belize,Americas,Democracy,Parliamentary Dem,1993,5,1,Late
